player_pair,pass_percentage_1,total_passes_1,pass_percentage_2,total_passes_2
"Carlee Turner, Kaleigh Fratkin",10,0.138888889,6.666666667,1.090909091
"Carlee Turner, Lauren Kelly",10,0.833333333,6.25,2.909090909
"Carlee Turner, Lexie Laing",0,0,5,0.363636364
"Carlee Turner, Lovisa Selander",0,0,0,0
"Carlee Turner, Mallory Souliotis",7.5,0.555555556,7.142857143,2.545454545
"Carlee Turner, Mary Parker",0,0,5,0.363636364
"Carlee Turner, McKenna Brand",6.666666667,0.416666667,0,0
"Carlee Turner, Meaghan Rickard",7.5,1.111111111,3.636363636,2
"Carlee Turner, Meghara McManus",6,1.388888889,3.636363636,2
"Carlee Turner, Paige Capistran",8.333333333,0.833333333,6.363636364,2
"Carlee Turner, Samantha Davis",0,0.416666667,2.5,0.727272727
"Carlee Turner, Taylor Turnquist",10,0.833333333,6.666666667,2.727272727
"Carlee Turner, Taylor Wenczkowski",7.692307692,1.805555556,6.666666667,2.727272727
"Carlee Turner, Tereza Vanisova",4.545454545,1.527777778,4.444444444,1.636363636
"Carlee Turner, Tori Sullivan",10,0.138888889,0,0
"Carlee Turner, Victoria Hanson",0,0,0,0
"Carlee Turner, Alyson Matteau",0,0,0,0
"Carlee Turner, Autumn MacDougall",0,0,0,0
"Carlee Turner, Brittany Colton",0,0,0,0
"Carlee Turner, Brooke Stacey",0,0,0,0
"Carlee Turner, Carly Jackson",0,0,0,0
"Carlee Turner, Cassidy MacPherson",0,0,0,0
"Carlee Turner, Caty Flagg",0,0,0,0
"Carlee Turner, Dominique Kremer",0,0,0,0
"Carlee Turner, Erin Gehen",0,0,0,0
"Carlee Turner, Hunter Accursi",0,0,0,0
"Carlee Turner, Iveta Klimasova",0,0,0,0
"Carlee Turner, Jordan Juron",0,0,0,0
"Carlee Turner, Kayla Meneghin",0,0,0,0
"Carlee Turner, Kristin Lewicki",0,0,0,0
"Carlee Turner, Lenka Curmova",0,0,0,0
"Carlee Turner, Lisa Chesson",0,0,0,0
"Carlee Turner, Marie-Jo Pelletier",0,0,0,0
"Carlee Turner, Megan Delay",0,0,0,0
"Carlee Turner, Neve Van Pelt",0,0,0,0
"Carlee Turner, Taylor Wasylk",0,0,0,0
"Carlee Turner, Whitney Dove",0,0,0,0
"Carlee Turner, Abbie Ives",0,0,0,0
"Carlee Turner, Alyssa Wohlfeiler",0,0,0,0
"Carlee Turner, Amanda Conway",0,0,0,0
"Carlee Turner, Brooke Wolejko",0,0,0,0
"Carlee Turner, Elena Orlando",0,0,0,0
"Carlee Turner, Emma Vlasic",0,0,0,0
"Carlee Turner, Grace Klienbach",0,0,0,0
"Carlee Turner, Hanna Beattie",0,0,0,0
"Carlee Turner, Janine Weber",0,0,0,0
"Carlee Turner, Katelynn Russ",0,0,0,0
"Carlee Turner, Kaycie Anderson",0,0,0,0
"Carlee Turner, Kayla Friesen",0,0,0,0
"Carlee Turner, Laurel Hill",0,0,0,0
"Carlee Turner, Mackenzie Lancaster",0,0,0,0
"Carlee Turner, Maddie Bishop",0,0,0,0
"Carlee Turner, Maeve Reilly",0,0,0,0
"Carlee Turner, Maggie LaGue",0,0,0,0
"Carlee Turner, Mariah Fujimagari",0,0,0,0
"Carlee Turner, Nicole Guagliardo",0,0,0,0
"Carlee Turner, Rachael Ade",0,0,0,0
"Carlee Turner, Sarah Hughson",0,0,0,0
"Carlee Turner, Sarah Schwenzfeier",0,0,0,0
"Carlee Turner, Shannon Doyle",0,0,0,0
"Carlee Turner, Taylor Marchin",0,0,0,0
"Carlee Turner, Tori Howran",0,0,0,0
"Carlee Turner, Allie Olnowich",0,0,0,0
"Carlee Turner, Brooke Avery",0,0,0,0
"Carlee Turner, Cailey Hutchison",0,0,0,0
"Carlee Turner, Emily Janiga",0,0,0,0
"Carlee Turner, Jayne Lewis",0,0,0,0
"Carlee Turner, Kate Leary",0,0,0,0
"Carlee Turner, Kelly Babstock",0,0,0,0
"Carlee Turner, Kendall Cornine",0,0,0,0
"Carlee Turner, Kiira Dosdall",0,0,0,0
"Carlee Turner, Leila Kilduff",0,0,0,0
"Carlee Turner, Madison Packer",0,0,0,0
"Carlee Turner, Mallory Rushton",0,0,0,0
"Carlee Turner, Paige Voight",0,0,0,0
"Carlee Turner, Rebecca Morse",0,0,0,0
"Carlee Turner, Rebecca Russo",0,0,0,0
"Carlee Turner, Sammy Kolowrat",0,0,0,0
"Carlee Turner, Saroya Tinker",0,0,0,0
"Carlee Turner, Sonjia Shelly",0,0,0,0
"Carlee Turner, Tera Hofmann",0,0,0,0
"Carlee Turner, Theresa Knutson",0,0,0,0
"Carlee Turner, Allie Thunstrom",0,0,0,0
"Carlee Turner, Amanda Leveille",0,0,0,0
"Carlee Turner, Audra Richards",0,0,0,0
"Carlee Turner, Brooke White",0,0,0,0
"Carlee Turner, Chelsey Brodt-Rosenthal",0,0,0,0
"Carlee Turner, Emma Stauber",0,0,0,0
"Carlee Turner, Haley Mack",0,0,0,0
"Carlee Turner, Haylea Schmid",0,0,0,0
"Carlee Turner, Jonna Curtis",0,0,0,0
"Carlee Turner, Lynn Astrup",0,0,0,0
"Carlee Turner, Maddie Rowe",0,0,0,0
"Carlee Turner, Meaghan Pezon",0,0,0,0
"Carlee Turner, Meghan Lorence",0,0,0,0
"Carlee Turner, Nina Rodgers",0,0,0,0
"Carlee Turner, Rose Alleva",0,0,0,0
"Carlee Turner, Sara Bustad",0,0,0,0
"Carlee Turner, Stephanie Anderson",0,0,0,0
"Carlee Turner, Sydney Baldwin",0,0,0,0
"Carlee Turner, Winny Brodt-Brown",0,0,0,0
"Carlee Turner, Amy Curlew",0,0,0,0
"Carlee Turner, Breanne Wilson-Bennett",0,0,0,0
"Carlee Turner, Brooke Boquist",0,0,0,0
"Carlee Turner, Elaine Chuli",0,0,0,0
"Carlee Turner, Emily Fluke",0,0,0,0
"Carlee Turner, Emma Greco",0,0,0,0
"Carlee Turner, Emma Woods",0,0,0,0
"Carlee Turner, Julie Allen",0,0,0,0
"Carlee Turner, Kristen Barbara",0,0,0,0
"Carlee Turner, Lindsay Eastwood",0,0,0,0
"Carlee Turner, Mackenzie MacNeil",0,0,0,0
"Carlee Turner, Megan Quinn",0,0,0,0
"Carlee Turner, Mikyla Grant-Mentis",0,0,0,0
"Carlee Turner, Natalie Marcuzzi",0,0,0,0
"Carlee Turner, Samantha Ridgewell",0,0,0,0
"Carlee Turner, Sarah Steele",0,0,0,0
"Carlee Turner, Sarah-Eve Coutu Godbout",0,0,0,0
"Carlee Turner, Shiann Darkangelo",0,0,0,0
"Carlee Turner, Taylor Woods",0,0,0,0
"Carlee Turner, Taytum Clairmont",0,0,0,0
"Christina Putigna, Jenna Rheault",10,0.138888889,0,0
"Christina Putigna, Jillian Dempsey",5.483870968,4.305555556,6.206896552,5.272727273
"Christina Putigna, Kaleigh Fratkin",7.142857143,0.972222222,6.428571429,5.090909091
"Christina Putigna, Lauren Kelly",10,0.972222222,6,4.545454545
"Christina Putigna, Lexie Laing",8.333333333,0.833333333,5,0.727272727
"Christina Putigna, Lovisa Selander",0,0,0,0
"Christina Putigna, Mallory Souliotis",10,1.388888889,5.454545455,4
"Christina Putigna, Mary Parker",6.666666667,0.416666667,5,0.363636364
"Christina Putigna, McKenna Brand",6.721311475,8.472222222,6.595744681,8.545454545
"Christina Putigna, Meaghan Rickard",0,0,0,0
"Christina Putigna, Meghara McManus",3.333333333,0.416666667,5,0.363636364
"Christina Putigna, Paige Capistran",10,0.138888889,6.363636364,2
"Christina Putigna, Samantha Davis",0,0,0,0.181818182
"Christina Putigna, Taylor Turnquist",10,0.555555556,8.571428571,2.545454545
"Christina Putigna, Taylor Wenczkowski",10,0.138888889,0,0.181818182
"Christina Putigna, Tereza Vanisova",2.5,0.555555556,5,0.363636364
"Christina Putigna, Tori Sullivan",0,0,0,0.181818182
"Christina Putigna, Victoria Hanson",0,0,0,0
"Christina Putigna, Alyson Matteau",0,0,0,0
"Christina Putigna, Autumn MacDougall",0,0,0,0
"Christina Putigna, Brittany Colton",0,0,0,0
"Christina Putigna, Brooke Stacey",0,0,0,0
"Christina Putigna, Carly Jackson",0,0,0,0
"Christina Putigna, Cassidy MacPherson",0,0,0,0
"Christina Putigna, Caty Flagg",0,0,0,0
"Christina Putigna, Dominique Kremer",0,0,0,0
"Christina Putigna, Erin Gehen",0,0,0,0
"Christina Putigna, Hunter Accursi",0,0,0,0
"Christina Putigna, Iveta Klimasova",0,0,0,0
"Christina Putigna, Jordan Juron",0,0,0,0
"Christina Putigna, Kayla Meneghin",0,0,0,0
"Christina Putigna, Kristin Lewicki",0,0,0,0
"Christina Putigna, Lenka Curmova",0,0,0,0
"Christina Putigna, Lisa Chesson",0,0,0,0
"Christina Putigna, Marie-Jo Pelletier",0,0,0,0
"Christina Putigna, Megan Delay",0,0,0,0
"Christina Putigna, Neve Van Pelt",0,0,0,0
"Christina Putigna, Taylor Wasylk",0,0,0,0
"Christina Putigna, Whitney Dove",0,0,0,0
"Christina Putigna, Abbie Ives",0,0,0,0
"Christina Putigna, Alyssa Wohlfeiler",0,0,0,0
"Christina Putigna, Amanda Conway",0,0,0,0
"Christina Putigna, Brooke Wolejko",0,0,0,0
"Christina Putigna, Elena Orlando",0,0,0,0
"Christina Putigna, Emma Vlasic",0,0,0,0
"Christina Putigna, Grace Klienbach",0,0,0,0
"Christina Putigna, Hanna Beattie",0,0,0,0
"Christina Putigna, Janine Weber",0,0,0,0
"Christina Putigna, Katelynn Russ",0,0,0,0
"Christina Putigna, Kaycie Anderson",0,0,0,0
"Christina Putigna, Kayla Friesen",0,0,0,0
"Christina Putigna, Laurel Hill",0,0,0,0
"Christina Putigna, Mackenzie Lancaster",0,0,0,0
"Christina Putigna, Maddie Bishop",0,0,0,0
"Christina Putigna, Maeve Reilly",0,0,0,0
"Christina Putigna, Maggie LaGue",0,0,0,0
"Christina Putigna, Mariah Fujimagari",0,0,0,0
"Christina Putigna, Nicole Guagliardo",0,0,0,0
"Christina Putigna, Rachael Ade",0,0,0,0
"Christina Putigna, Sarah Hughson",0,0,0,0
"Christina Putigna, Sarah Schwenzfeier",0,0,0,0
"Christina Putigna, Shannon Doyle",0,0,0,0
"Christina Putigna, Taylor Marchin",0,0,0,0
"Christina Putigna, Tori Howran",0,0,0,0
"Christina Putigna, Allie Olnowich",0,0,0,0
"Christina Putigna, Brooke Avery",0,0,0,0
"Christina Putigna, Cailey Hutchison",0,0,0,0
"Christina Putigna, Emily Janiga",0,0,0,0
"Christina Putigna, Jayne Lewis",0,0,0,0
"Christina Putigna, Kate Leary",0,0,0,0
"Christina Putigna, Kelly Babstock",0,0,0,0
"Christina Putigna, Kendall Cornine",0,0,0,0
"Christina Putigna, Kiira Dosdall",0,0,0,0
"Christina Putigna, Leila Kilduff",0,0,0,0
"Christina Putigna, Madison Packer",0,0,0,0
"Christina Putigna, Mallory Rushton",0,0,0,0
"Christina Putigna, Paige Voight",0,0,0,0
"Christina Putigna, Rebecca Morse",0,0,0,0
"Christina Putigna, Rebecca Russo",0,0,0,0
"Christina Putigna, Sammy Kolowrat",0,0,0,0
"Christina Putigna, Saroya Tinker",0,0,0,0
"Christina Putigna, Sonjia Shelly",0,0,0,0
"Christina Putigna, Tera Hofmann",0,0,0,0
"Christina Putigna, Theresa Knutson",0,0,0,0
"Christina Putigna, Allie Thunstrom",0,0,0,0
"Christina Putigna, Amanda Leveille",0,0,0,0
"Christina Putigna, Audra Richards",0,0,0,0
"Christina Putigna, Brooke White",0,0,0,0
"Christina Putigna, Chelsey Brodt-Rosenthal",0,0,0,0
"Christina Putigna, Emma Stauber",0,0,0,0
"Christina Putigna, Haley Mack",0,0,0,0
"Christina Putigna, Haylea Schmid",0,0,0,0
"Christina Putigna, Jonna Curtis",0,0,0,0
"Christina Putigna, Lynn Astrup",0,0,0,0
"Christina Putigna, Maddie Rowe",0,0,0,0
"Christina Putigna, Meaghan Pezon",0,0,0,0
"Christina Putigna, Meghan Lorence",0,0,0,0
"Christina Putigna, Nina Rodgers",0,0,0,0
"Christina Putigna, Rose Alleva",0,0,0,0
"Christina Putigna, Sara Bustad",0,0,0,0
"Christina Putigna, Stephanie Anderson",0,0,0,0
"Christina Putigna, Sydney Baldwin",0,0,0,0
"Christina Putigna, Winny Brodt-Brown",0,0,0,0
"Christina Putigna, Amy Curlew",0,0,0,0
"Christina Putigna, Breanne Wilson-Bennett",0,0,0,0
"Christina Putigna, Brooke Boquist",0,0,0,0
"Christina Putigna, Elaine Chuli",0,0,0,0
"Christina Putigna, Emily Fluke",0,0,0,0
"Christina Putigna, Emma Greco",0,0,0,0
"Christina Putigna, Emma Woods",0,0,0,0
"Christina Putigna, Julie Allen",0,0,0,0
"Christina Putigna, Kristen Barbara",0,0,0,0
"Christina Putigna, Lindsay Eastwood",0,0,0,0
"Christina Putigna, Mackenzie MacNeil",0,0,0,0
"Christina Putigna, Megan Quinn",0,0,0,0
"Christina Putigna, Mikyla Grant-Mentis",0,0,0,0
"Christina Putigna, Natalie Marcuzzi",0,0,0,0
"Christina Putigna, Samantha Ridgewell",0,0,0,0
"Christina Putigna, Sarah Steele",0,0,0,0
"Christina Putigna, Sarah-Eve Coutu Godbout",0,0,0,0
"Christina Putigna, Shiann Darkangelo",0,0,0,0
"Christina Putigna, Taylor Woods",0,0,0,0
"Christina Putigna, Taytum Clairmont",0,0,0,0
"Jenna Rheault, Jillian Dempsey",0,0.138888889,0,0
"Jenna Rheault, Kaleigh Fratkin",0,0,10,0.181818182
"Jenna Rheault, Lauren Kelly",10,0.138888889,0,0
"Jenna Rheault, Lexie Laing",4,0.694444444,10,0.181818182
"Jenna Rheault, Lovisa Selander",0,0,0,0
"Jenna Rheault, Mallory Souliotis",0,0,0,0
"Jenna Rheault, Mary Parker",6.666666667,0.416666667,10,0.727272727
"Jenna Rheault, McKenna Brand",5,0.277777778,0,0
"Jenna Rheault, Meaghan Rickard",10,0.416666667,0,0
"Jenna Rheault, Meghara McManus",5,0.277777778,0,0
"Jenna Rheault, Paige Capistran",10,0.694444444,10,0.363636364
"Jenna Rheault, Samantha Davis",7.5,0.555555556,10,0.545454545
"Jenna Rheault, Taylor Turnquist",0,0,0,0
"Jenna Rheault, Taylor Wenczkowski",5,0.277777778,0,0
"Jenna Rheault, Tereza Vanisova",5,0.277777778,5,0.363636364
"Jenna Rheault, Tori Sullivan",0,0,0,0
"Jenna Rheault, Victoria Hanson",0,0,0,0
"Jenna Rheault, Alyson Matteau",0,0,0,0
"Jenna Rheault, Autumn MacDougall",0,0,0,0
"Jenna Rheault, Brittany Colton",0,0,0,0
"Jenna Rheault, Brooke Stacey",0,0,0,0
"Jenna Rheault, Carly Jackson",0,0,0,0
"Jenna Rheault, Cassidy MacPherson",0,0,0,0
"Jenna Rheault, Caty Flagg",0,0,0,0
"Jenna Rheault, Dominique Kremer",0,0,0,0
"Jenna Rheault, Erin Gehen",0,0,0,0
"Jenna Rheault, Hunter Accursi",0,0,0,0
"Jenna Rheault, Iveta Klimasova",0,0,0,0
"Jenna Rheault, Jordan Juron",0,0,0,0
"Jenna Rheault, Kayla Meneghin",0,0,0,0
"Jenna Rheault, Kristin Lewicki",0,0,0,0
"Jenna Rheault, Lenka Curmova",0,0,0,0
"Jenna Rheault, Lisa Chesson",0,0,0,0
"Jenna Rheault, Marie-Jo Pelletier",0,0,0,0
"Jenna Rheault, Megan Delay",0,0,0,0
"Jenna Rheault, Neve Van Pelt",0,0,0,0
"Jenna Rheault, Taylor Wasylk",0,0,0,0
"Jenna Rheault, Whitney Dove",0,0,0,0
"Jenna Rheault, Abbie Ives",0,0,0,0
"Jenna Rheault, Alyssa Wohlfeiler",0,0,0,0
"Jenna Rheault, Amanda Conway",0,0,0,0
"Jenna Rheault, Brooke Wolejko",0,0,0,0
"Jenna Rheault, Elena Orlando",0,0,0,0
"Jenna Rheault, Emma Vlasic",0,0,0,0
"Jenna Rheault, Grace Klienbach",0,0,0,0
"Jenna Rheault, Hanna Beattie",0,0,0,0
"Jenna Rheault, Janine Weber",0,0,0,0
"Jenna Rheault, Katelynn Russ",0,0,0,0
"Jenna Rheault, Kaycie Anderson",0,0,0,0
"Jenna Rheault, Kayla Friesen",0,0,0,0
"Jenna Rheault, Laurel Hill",0,0,0,0
"Jenna Rheault, Mackenzie Lancaster",0,0,0,0
"Jenna Rheault, Maddie Bishop",0,0,0,0
"Jenna Rheault, Maeve Reilly",0,0,0,0
"Jenna Rheault, Maggie LaGue",0,0,0,0
"Jenna Rheault, Mariah Fujimagari",0,0,0,0
"Jenna Rheault, Nicole Guagliardo",0,0,0,0
"Jenna Rheault, Rachael Ade",0,0,0,0
"Jenna Rheault, Sarah Hughson",0,0,0,0
"Jenna Rheault, Sarah Schwenzfeier",0,0,0,0
"Jenna Rheault, Shannon Doyle",0,0,0,0
"Jenna Rheault, Taylor Marchin",0,0,0,0
"Jenna Rheault, Tori Howran",0,0,0,0
"Jenna Rheault, Allie Olnowich",0,0,0,0
"Jenna Rheault, Brooke Avery",0,0,0,0
"Jenna Rheault, Cailey Hutchison",0,0,0,0
"Jenna Rheault, Emily Janiga",0,0,0,0
"Jenna Rheault, Jayne Lewis",0,0,0,0
"Jenna Rheault, Kate Leary",0,0,0,0
"Jenna Rheault, Kelly Babstock",0,0,0,0
"Jenna Rheault, Kendall Cornine",0,0,0,0
"Jenna Rheault, Kiira Dosdall",0,0,0,0
"Jenna Rheault, Leila Kilduff",0,0,0,0
"Jenna Rheault, Madison Packer",0,0,0,0
"Jenna Rheault, Mallory Rushton",0,0,0,0
"Jenna Rheault, Paige Voight",0,0,0,0
"Jenna Rheault, Rebecca Morse",0,0,0,0
"Jenna Rheault, Rebecca Russo",0,0,0,0
"Jenna Rheault, Sammy Kolowrat",0,0,0,0
"Jenna Rheault, Saroya Tinker",0,0,0,0
"Jenna Rheault, Sonjia Shelly",0,0,0,0
"Jenna Rheault, Tera Hofmann",0,0,0,0
"Jenna Rheault, Theresa Knutson",0,0,0,0
"Jenna Rheault, Allie Thunstrom",0,0,0,0
"Jenna Rheault, Amanda Leveille",0,0,0,0
"Jenna Rheault, Audra Richards",0,0,0,0
"Jenna Rheault, Brooke White",0,0,0,0
"Jenna Rheault, Chelsey Brodt-Rosenthal",0,0,0,0
"Jenna Rheault, Emma Stauber",0,0,0,0
"Jenna Rheault, Haley Mack",0,0,0,0
"Jenna Rheault, Haylea Schmid",0,0,0,0
"Jenna Rheault, Jonna Curtis",0,0,0,0
"Jenna Rheault, Lynn Astrup",0,0,0,0
"Jenna Rheault, Maddie Rowe",0,0,0,0
"Jenna Rheault, Meaghan Pezon",0,0,0,0
"Jenna Rheault, Meghan Lorence",0,0,0,0
"Jenna Rheault, Nina Rodgers",0,0,0,0
"Jenna Rheault, Rose Alleva",0,0,0,0
"Jenna Rheault, Sara Bustad",0,0,0,0
"Jenna Rheault, Stephanie Anderson",0,0,0,0
"Jenna Rheault, Sydney Baldwin",0,0,0,0
"Jenna Rheault, Winny Brodt-Brown",0,0,0,0
"Jenna Rheault, Amy Curlew",0,0,0,0
"Jenna Rheault, Breanne Wilson-Bennett",0,0,0,0
"Jenna Rheault, Brooke Boquist",0,0,0,0
"Jenna Rheault, Elaine Chuli",0,0,0,0
"Jenna Rheault, Emily Fluke",0,0,0,0
"Jenna Rheault, Emma Greco",0,0,0,0
"Jenna Rheault, Emma Woods",0,0,0,0
"Jenna Rheault, Julie Allen",0,0,0,0
"Jenna Rheault, Kristen Barbara",0,0,0,0
"Jenna Rheault, Lindsay Eastwood",0,0,0,0
"Jenna Rheault, Mackenzie MacNeil",0,0,0,0
"Jenna Rheault, Megan Quinn",0,0,0,0
"Jenna Rheault, Mikyla Grant-Mentis",0,0,0,0
"Jenna Rheault, Natalie Marcuzzi",0,0,0,0
"Jenna Rheault, Samantha Ridgewell",0,0,0,0
"Jenna Rheault, Sarah Steele",0,0,0,0
"Jenna Rheault, Sarah-Eve Coutu Godbout",0,0,0,0
"Jenna Rheault, Shiann Darkangelo",0,0,0,0
"Jenna Rheault, Taylor Woods",0,0,0,0
"Jenna Rheault, Taytum Clairmont",0,0,0,0
"Jillian Dempsey, Kaleigh Fratkin",8.181818182,1.527777778,5,3.636363636
"Jillian Dempsey, Lauren Kelly",5,0.833333333,6.428571429,2.545454545
"Jillian Dempsey, Lexie Laing",0,0,2.5,0.727272727
"Jillian Dempsey, Lovisa Selander",0,0,0,0
"Jillian Dempsey, Mallory Souliotis",8.571428571,0.972222222,4.736842105,3.454545455
"Jillian Dempsey, Mary Parker",0,0,0,0
"Jillian Dempsey, McKenna Brand",6.4,6.944444444,7,7.272727273
