player_name,num_games_played,total_shots_made,total_goals_made,average_shots_made,average_shots_percentage,overall_shots_percentage,total_passes_made,total_plays_made,average_passes_made,average_passes_percentage,overall_passes_percentage,total_assists,total_dump_ins_made,average_dump_ins_made,average_dump_ins_percentage,overall_dump_ins_percentage,total_dump_outs_made,average_dump_outs_made,average_dump_outs_percentage,overall_dump_outs_percentage,total_zone_entries_made,average_zone_entries_made,total_takeaways_made,average_takeaways_made,total_puck_recoveries_made,average_puck_recoveries_made,total_faceoff_number,total_faceoff_wins,average_faceoff_wins,total_faceoff_losses,average_faceoff_losses,overall_faceoff_percentage,average_faceoff_percentage
Autumn MacDougall,8.33,3.62,6,3.89,5,5,3.56,2.9,4.06,3.87,3.55,0,7.83,6,1.31,2,4.35,4.17,5,4.29,5.32,5.69,2.41,2.22,3.28,3.67,0.16,0,0,0.27,0.26,0,0
Brittany Colton,8.33,0.86,0,0.93,0,0,0.76,0.71,0.72,5.37,5.08,0,2.61,2,0.83,2,2.17,2.08,0,0,2.26,2.41,1.72,1.59,1.25,1.24,0.64,0.13,0.13,0.96,0.9,1.25,1.67
Brooke Stacey,8.33,4.14,0,4.44,0,0,2.78,2.37,3.12,5.27,3.98,0,3.91,3,1.33,2.86,2.61,2.5,0,0,4.19,4.48,2.41,2.22,2.33,2.53,0.64,0.38,0.38,0.68,0.64,3.75,5.5
Carly Jackson,8.33,0,0,0,,,1.51,1.99,1.62,9.54,9.37,0,0,0,,,0.43,0.42,0,0,0,0,1.03,0.95,2.33,2.53,0,0,0,0,0,,
Cassidy MacPherson,8.33,3.28,0,3.52,0,0,3.69,3.4,4.2,4.82,4.8,0,3.91,3,0,0,7.39,7.08,1.67,1.33,4.84,5.17,6.9,6.35,3.92,4.44,6.96,4.81,4.81,6.71,6.28,4.37,4.34
Caty Flagg,0,0,0,0,,,0,0,0,10,10,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,
Dominique Kremer,8.33,2.76,0,2.96,0,0,4.71,4.07,5.42,4.34,4.09,0,7.83,6,0.56,0.59,7.83,7.5,1.17,1.25,5.16,5.52,10,9.21,5.73,6.61,0,0,0,0,0,,
Erin Gehen,8.33,3.1,0,3.33,0,0,3.32,2.74,3.77,4.41,3.66,0,10,7.67,0.56,0.95,5.65,5.42,1,0.83,5.65,6.03,4.83,4.44,3.53,3.97,0,0,0,0,0,,
Hunter Accursi,8.33,1.21,0,1.3,0,0,0.97,0.75,0.97,5.28,3.21,0,3.48,2.67,0,0,1.3,1.25,0,0,1.45,1.55,1.03,0.95,1.42,1.45,1.12,0.38,0.38,1.51,1.41,2.14,3.94
Iveta Klimasova,8.33,2.07,0,2.22,0,0,1.72,1.16,1.87,2.74,2,0,3.48,2.67,2.5,3.33,2.17,2.08,0,0,2.58,2.76,1.72,1.59,2.07,2.22,0.24,0.13,0.13,0.27,0.26,3.33,3.33
Jordan Juron,8.33,5.17,2,5.56,0.48,1.17,3.53,3.11,4.02,4.48,4.31,0,7.83,6,0.25,0.59,4.35,4.17,0,0,5.97,6.38,7.24,6.67,4.05,4.59,9.76,6.2,6.2,10,9.36,4.02,3.99
Kayla Meneghin,3.33,0.34,0,0.74,0,0,0.85,0.46,1.87,1.06,0.62,0,0.87,1.33,5,10,1.3,2.5,0,0,1.61,3.45,0.69,1.27,0.69,1.45,1.12,0.63,1.27,1.23,2.31,3.57,3.89
Kristin Lewicki,8.33,3.97,4,4.26,1.78,3.04,3.63,3.36,4.13,5.09,4.84,3.33,7.83,6,0.83,1.25,3.48,3.33,0,0,5.97,6.38,5.86,5.4,3.58,4.03,0.24,0.13,0.13,0.27,0.26,3.33,3.33
Lenka Curmova,8.33,2.59,0,2.78,0,0,2.72,2.03,3.05,3.42,2.79,0,3.04,2.33,1.25,1.67,5.65,5.42,0.56,0.83,1.29,1.38,7.24,6.67,3.75,4.23,0,0,0,0,0,,
Lisa Chesson,3.33,1.72,2,3.7,2.22,3.5,2.24,1.87,5.17,4.21,3.81,0,1.3,2,0,0,3.48,6.67,0,0,0.65,1.38,2.76,5.08,2.63,6.09,0,0,0,0,0,,
Marie-Jo Pelletier,8.33,3.28,0,3.52,0,0,5.56,5.39,6.43,5.72,5.33,0,7.39,5.67,1.72,2.14,10,9.58,0.75,0.95,3.23,3.45,8.28,7.62,6.21,7.18,0,0,0,0,0,,
Megan Delay,8.33,2.41,0,2.59,0,0,2.57,1.78,2.87,2.69,2.19,0,3.04,2.33,0,0,9.13,8.75,0,0,1.13,1.21,4.83,4.44,3.92,4.44,0,0,0,0,0,,
Neve Van Pelt,6.67,1.03,0,1.33,0,0,1.18,0.83,1.51,3.07,2.4,0,4.35,4,0,0,1.74,2,0,0,1.61,2.07,3.1,3.43,1.59,2.04,3.28,1.65,1.97,3.84,4.31,3.17,2.83
Taylor Wasylk,5,2.59,0,4.17,0,0,1.39,1.12,2.32,3.68,3.53,0,2.61,3,0,0,5.22,7.5,0.36,0.91,1.94,3.1,1.72,2.38,1.72,2.87,2.08,0.76,1.14,2.74,3.85,2.31,1.57
Whitney Dove,8.33,3.97,0,4.26,0,0,4.68,4.32,5.38,5.03,4.77,0,3.04,2.33,0,0,7.39,7.08,1.11,1.33,3.23,3.45,5.17,4.76,6.38,7.38,0,0,0,0,0,,
Abbie Ives,5,0,0,0,,,0.45,0.5,0.65,8.31,7,0,0,0,,,0,0,,,0,0,0,0,0.91,1.39,0,0,0,0,0,,
Alyssa Wohlfeiler,5,4.31,2,6.94,1,1.4,3.41,3.57,5.92,6.39,6.21,6.67,1.74,2,1.67,3.33,1.74,2.5,0,0,4.19,6.72,2.76,3.81,2.2,3.72,0,0,0,0,0,,
Amanda Conway,5,1.9,2,3.06,1.67,3.18,1.03,0.71,1.67,2.73,2.23,0,1.3,1.5,0,0,0.43,0.62,0,0,1.61,2.59,1.03,1.43,0.99,1.55,0.08,0,0,0.14,0.19,0,0
Brooke Wolejko,0,0,0,0,,,0.3,0.37,2.15,8.64,8.55,0,0,0,,,0,0,,,0,0,0,0,0.43,3.1,0,0,0,0,0,,
Elena Orlando,5,1.03,0,1.67,0,0,2.3,1.83,3.93,3.8,3.35,0,1.74,2,0,0,6.96,10,2,3.33,0.65,1.03,2.41,3.33,3.23,5.58,0,0,0,0,0,,
Emma Vlasic,5,2.76,2,4.44,2.5,2.19,2.39,2.37,4.09,5.94,5.6,6.67,4.35,5,0.83,1.11,3.48,5,2.5,1.43,2.1,3.36,4.14,5.71,2.63,4.49,6.24,5.7,8.54,4.52,6.35,5.77,5.86
Grace Klienbach,5,1.38,0,2.22,0,0,1,0.87,1.62,4.5,4.35,0,3.04,3.5,0,0,1.3,1.88,2.5,5,1.77,2.84,1.38,1.9,1.08,1.7,0,0,0,0,0,,
Hanna Beattie,5,1.9,0,3.06,0,0,2.84,2.12,4.9,3.43,2.76,0,5.22,6,1,2,5.65,8.12,1.33,1.82,1.61,2.59,5.17,7.14,4.18,7.28,0,0,0,0,0,,
Janine Weber,5,5,0,8.06,0,0,2.18,1.95,3.72,4.58,4.52,0,6.52,7.5,0.83,0.71,1.3,1.88,2.5,5,3.23,5.17,2.76,3.81,2.37,4.03,1.12,1.01,1.52,0.82,1.15,5.71,6.25
Katelynn Russ,5,4.83,4,7.78,1.33,2.5,2.08,1.62,3.55,3.57,3.14,0,6.52,7.5,1,1.54,1.74,2.5,0,0,3.39,5.43,3.79,5.24,2.37,4.03,0.88,0.76,1.14,0.68,0.96,5.45,6.88
Kaycie Anderson,5,2.59,2,4.17,1,2.33,1.15,0.71,1.88,1.82,1.38,0,2.61,3,0,0,2.17,3.12,0,0,1.77,2.84,1.03,1.43,1.59,2.63,0.16,0.13,0.19,0.14,0.19,5,5
Kayla Friesen,3.33,4.14,2,8.89,0.61,1.46,1.93,1.45,4.45,3.23,2.86,0,3.48,5.33,0.83,1.43,3.48,6.67,0,0,2.26,4.83,3.79,6.98,2.54,5.88,4.88,3.92,7.85,4.11,7.69,5.08,4.77
Laurel Hill,1.67,0.52,0,1.67,0,0,0.85,0.54,2.91,2.69,1.72,0,0.87,2,0,0,0,0,,,0.16,0.52,0.69,1.9,1.08,3.72,0,0,0,0,0,,
Mackenzie Lancaster,3.33,1.9,0,4.07,0,0,1.66,1.62,3.81,5.94,5.43,0,2.17,3.33,2.5,2.5,2.17,4.17,0,0,2.74,5.86,1.03,1.9,1.59,3.61,2.24,1.14,2.28,2.6,4.87,3.21,3.16
Maddie Bishop,5,0.69,0,1.11,0,0,0.69,0.5,1.08,1.43,2.67,0,1.3,1.5,0,0,0.43,0.62,0,0,1.13,1.81,1.72,2.38,0.6,0.85,0.08,0,0,0.14,0.19,0,0
Maeve Reilly,0,0.17,0,1.11,0,0,0.15,0.08,1.08,2.5,2,0,0.87,4,5,10,0.43,2.5,0,0,0.32,2.07,0.34,1.9,0.09,0.62,0,0,0,0,0,,
Maggie LaGue,5,3.79,0,6.11,0,0,3.96,3.65,6.89,5.34,4.79,0,1.74,2,0,0,4.35,6.25,1.25,2.5,1.94,3.1,5.52,7.62,4.61,8.05,0,0,0,0,0,,
Mariah Fujimagari,0,0,0,0,,,0.09,0.08,0.65,6.25,6,0,0,0,,,0,0,,,0,0,0,0,0.13,0.93,0,0,0,0,0,,
Nicole Guagliardo,1.67,1.21,0,3.89,0,0,1.03,0.87,3.55,5.16,4.06,0,2.61,6,0,0,0.87,2.5,0,0,1.45,4.66,0.69,1.9,0.99,3.41,0,0,0,0,0,,
Rachael Ade,0,0.69,0,4.44,0,0,0.21,0.21,1.51,6.25,6,0,0.87,4,5,10,0,0,,,0.48,3.1,0.69,3.81,0.43,3.1,0.08,0,0,0.14,0.77,0,0
Sarah Hughson,0,0.34,0,2.22,0,0,0.09,0.04,0.65,2.5,2,0,0.43,2,10,,0,0,,,0.16,1.03,0.69,3.81,0.09,0.62,0.72,0.38,2.28,0.82,4.62,3.33,3.33
Sarah Schwenzfeier,5,2.07,0,3.33,0,0,1.36,0.91,2.26,1.04,2,0,2.17,2.5,3.33,2.5,4.78,6.88,0.5,1,2.26,3.62,3.79,5.24,2.03,3.41,3.84,3.16,4.75,3.15,4.42,5.21,5.33
Shannon Doyle,5,3.28,0,5.28,0,0,4.74,4.07,8.29,4.21,4.03,0,3.48,4,2.5,1.43,6.52,9.38,0,0,0.97,1.55,5.86,8.1,5.34,9.37,0,0,0,0,0,,
Taylor Marchin,5,1.72,0,2.78,0,0,2.6,1.95,4.47,3.32,2.83,0,5.22,6,1.46,2,3.91,5.62,0.83,1.25,0.48,0.78,3.1,4.29,3.15,5.42,0,0,0,0,0,,
Tori Howran,3.33,2.41,2,5.19,1.33,2.5,3.26,3.03,7.61,5.14,4.86,3.33,4.35,6.67,0.48,1.11,2.61,5,0,0,1.45,3.1,4.48,8.25,3.84,8.98,0,0,0,0,0,,
Allie Olnowich,3.33,1.72,0,3.7,0,0,0.88,0.91,1.94,6.31,6.27,0,1.74,2.67,0,0,2.61,5,1.11,2,0.48,1.03,1.72,3.17,1.29,2.89,0,0,0,0,0,,
Brooke Avery,3.33,0,0,0,,,0.82,0.87,1.79,7.18,6.57,0,1.3,2,2.5,5,1.3,2.5,0,0,0.65,1.38,0.69,1.27,0.56,1.14,0.24,0.13,0.25,0.27,0.51,3.33,2.5
Cailey Hutchison,3.33,0.86,2,1.85,10,7,0.82,0.58,1.79,3.17,2.57,0,1.3,2,0,0,1.74,3.33,2.5,3.33,0.32,0.69,2.76,5.08,0.86,1.86,2.32,2.28,4.56,1.51,2.82,6.21,6.25
Emily Janiga,3.33,1.55,2,3.33,3.33,3.89,1.45,1.2,3.3,4.42,3.8,0,1.3,2,0,0,2.17,4.17,0,0,2.26,4.83,4.48,8.25,1.51,3.41,4.16,2.15,4.3,4.79,8.97,3.27,3.32
Jayne Lewis,3.33,0.52,0,1.11,0,0,0.6,0.37,1.29,2.27,1.62,0,1.3,2,0,0,1.3,2.5,0,0,0.32,0.69,0,0,0.47,0.93,0.08,0,0,0.14,0.26,0,0
Kate Leary,3.33,1.72,0,3.7,0,0,1.99,2.2,4.59,6.78,6.9,0,3.48,5.33,0.83,1.43,4.35,8.33,0.48,1.11,3.39,7.24,1.72,3.17,2.16,4.96,0,0,0,0,0,,
Kelly Babstock,3.33,2.41,0,5.19,0,0,1.48,1.37,3.37,5.34,4.88,6.67,1.3,2,0,0,1.3,2.5,3.33,5,2.9,6.21,3.1,5.71,1.47,3.3,4.4,3.04,6.08,4.25,7.95,4.36,3.87
Kendall Cornine,3.33,1.9,0,4.07,0,0,1.36,1.24,3.09,4.87,4.78,0,4.78,7.33,2.89,3.75,3.91,7.5,0.56,1.25,3.39,7.24,1.72,3.17,1.94,4.44,2.08,1.9,3.8,1.51,2.82,5.77,5.79
Kiira Dosdall,3.33,2.93,0,6.3,0,0,3.75,3.73,8.76,5.92,5.65,0,4.78,7.33,2.78,3.75,2.17,4.17,0,0,1.94,4.14,2.76,5.08,3.75,8.78,0,0,0,0,0,,
Leila Kilduff,3.33,1.21,4,2.59,4.44,10,1.99,1.91,4.59,5.87,5.22,0,2.17,3.33,1.67,2.5,1.74,3.33,0,0,0.97,2.07,5.17,9.52,1.68,3.82,0,0,0,0,0,,
Madison Packer,3.33,2.59,0,5.56,0,0,2.93,3.03,6.82,6.23,6.08,0,2.61,4,1.67,2,3.04,5.83,0,0,3.23,6.9,5.17,9.52,2.37,5.47,0.64,0.13,0.25,0.96,1.79,1.25,1.11
Mallory Rushton,3.33,1.9,2,4.07,0.95,3.18,1.51,1.33,3.45,4.34,4.35,0,0.87,1.33,10,,1.3,2.5,0,0,1.45,3.1,1.03,1.9,1.25,2.79,0.16,0.13,0.25,0.14,0.26,5,5
Paige Voight,3.33,0.86,0,1.85,0,0,1.48,1.16,3.37,4,3.28,0,3.48,5.33,0,0,3.04,5.83,0,0,1.45,3.1,2.76,5.08,1.51,3.41,0.08,0.13,0.25,0,0,10,10
Rebecca Morse,3.33,3.28,0,7.04,0,0,2.6,2.57,6.03,5.82,5.59,0,4.78,7.33,0.48,1,3.04,5.83,0,0,2.26,4.83,4.48,8.25,3.06,7.12,0,0,0,0,0,,
Rebecca Russo,3.33,1.38,2,2.96,2.22,4.38,1.75,1.66,4.02,5.33,5.12,0,3.91,6,0.83,1.25,1.3,2.5,2.5,5,1.45,3.1,1.72,3.17,1.9,4.34,0.32,0.25,0.51,0.27,0.51,5,3.33
Sammy Kolowrat,3.33,0.86,0,1.85,0,0,2.51,1.87,5.82,3.53,2.76,0,6.52,10,0.42,0.71,5.22,10,1.78,2,2.26,4.83,2.76,5.08,3.49,8.16,0,0,0,0,0,,
Saroya Tinker,3.33,1.21,0,2.59,0,0,1.84,1.87,4.24,5.78,5.87,0,3.04,4.67,0.67,1.67,4.78,9.17,3.11,5.71,0.32,0.69,1.72,3.17,2.37,5.47,0,0,0,0,0,,
Sonjia Shelly,1.67,0,0,0,,,0.39,0.46,1.29,8.12,7.71,0,0,0,,,0,0,,,0,0,0,0,0.6,2.01,0,0,0,0,0,,
Tera Hofmann,0,0,0,0,,,0.36,0.41,2.58,7.69,7.54,0,0,0,,,0,0,,,0,0,0,0,0.52,3.72,0,0,0,0,0,,
Theresa Knutson,3.33,2.93,2,6.3,0.67,2.06,1.36,1.45,3.09,7,6.52,0,1.74,2.67,1.67,3.33,0.43,0.83,0,0,2.26,4.83,1.72,3.17,1.34,2.99,0.24,0.25,0.51,0.14,0.26,6.67,6.67
Allie Thunstrom,5,4.83,0,7.78,0,0,2.05,1.83,3.5,4.82,4.43,0,4.78,5.5,0,0,5.65,8.12,3,1.82,5.16,8.28,4.83,6.67,2.41,4.1,0.8,0.13,0.19,1.23,1.73,1,1.67
Amanda Leveille,5,0,0,0,,,1.03,1.29,1.67,8.68,8.63,0,0,0,,,0.43,0.62,0,0,0,0,0,0,1.47,2.4,0,0,0,0,0,,
Audra Richards,5,2.76,4,4.44,3.33,4.38,1.57,1.08,2.64,2.37,2.15,0,8.26,9.5,2.29,2.67,2.61,3.75,1.11,2,3.39,5.43,1.72,2.38,2.16,3.64,0.24,0.25,0.38,0.14,0.19,6.67,5
Brooke White,5,0,0,0,,,0.3,0.25,0.38,3.44,4.18,0,0,0,,,0.87,1.25,5,10,0.48,0.78,0.69,0.95,0.34,0.39,0.08,0.13,0.19,0,0,10,10
Chelsey Brodt-Rosenthal,5,0.52,0,0.83,0,0,1.78,1.33,3.02,3.57,2.8,0,3.48,4,0.83,1.43,3.91,5.62,1.25,2.86,0.65,1.03,1.38,1.9,3.15,5.42,0,0,0,0,0,,
Emma Stauber,5,1.9,0,3.06,0,0,3.29,2.86,5.71,4.56,4.18,3.33,2.17,2.5,0,0,3.48,5,0,0,1.29,2.07,2.07,2.86,3.45,5.96,0,0,0,0,0,,
Haley Mack,5,2.59,4,4.17,2.67,4.67,2.69,2.53,4.63,5.34,5.02,3.33,2.17,2.5,0,0,1.3,1.88,0,0,5,8.02,1.38,1.9,2.5,4.26,0.8,0.76,1.14,0.55,0.77,6,5.83
Haylea Schmid,3.33,1.72,2,3.7,2.22,3.5,1.18,1,2.66,4.3,4,0,0.87,1.33,0,0,1.3,2.5,0,0,1.61,3.45,3.45,6.35,1.12,2.48,2.24,1.39,2.78,2.33,4.36,3.93,3.92
Jonna Curtis,5,3.62,2,5.83,1,1.67,2.81,2.32,4.85,4.21,3.7,0,4.35,5,0,0,6.09,8.75,4.12,4,5.32,8.53,3.45,4.76,3.06,5.27,4.96,3.29,4.94,4.93,6.92,4.19,4.17
Lynn Astrup,5,0.34,0,0.56,0,0,0.21,0.08,0.22,0,0,0,1.3,1.5,0,0,0.43,0.62,0,0,0.65,1.03,0.69,0.95,0.26,0.23,0.48,0.25,0.38,0.55,0.77,3.33,1.67
Maddie Rowe,5,1.72,0,2.78,0,0,3.69,3.28,6.41,4.51,4.41,0,2.61,3,1.67,2,3.48,5,1.11,1.43,1.13,1.81,4.14,5.71,4.4,7.67,0,0,0,0,0,,
Meaghan Pezon,5,1.55,2,2.5,2.5,3.89,2.27,2.37,3.88,6.49,6.21,0,2.61,3,0,0,0.87,1.25,0,0,1.61,2.59,3.1,4.29,1.85,3.1,0.4,0.25,0.38,0.41,0.58,4,3.33
Meghan Lorence,5,3.62,0,5.83,0,0,3.05,2.99,5.28,5.98,5.45,3.33,3.91,4.5,1.67,2.86,2.61,3.75,0,0,4.03,6.47,3.79,5.24,2.24,3.79,0.08,0.13,0.19,0,0,10,10
Nina Rodgers,5,3.28,4,5.28,1.67,3.68,1.96,1.99,3.34,6.13,5.88,3.33,0.87,1,0,0,3.04,4.38,0,0,1.45,2.33,4.48,6.19,2.03,3.41,0.48,0.13,0.19,0.68,0.96,1.67,3.33
Rose Alleva,3.33,0.34,0,0.74,0,0,0.18,0.17,0.29,6.25,5.43,0,0,0,,,0,0,,,0,0,0,0,0.26,0.41,0,0,0,0,0,,
Sara Bustad,5,2.07,0,3.33,0,0,1.39,1.08,2.32,4.12,3.19,0,2.61,3,3.33,2,0.87,1.25,0,0,0.97,1.55,0.69,0.95,1.9,3.17,0.08,0.13,0.19,0,0,10,10
Stephanie Anderson,5,3.1,0,5,0,0,2.96,2.82,5.12,5.47,5.15,0,3.04,3.5,3.75,4,4.35,6.25,0,0,3.06,4.91,6.55,9.05,2.54,4.34,7.2,4.81,7.22,7.12,10,4.22,4.35
Sydney Baldwin,5,5.69,2,9.17,0.42,1.06,4.83,4.61,8.45,5.59,5.13,0,3.91,4.5,1.67,2.86,6.09,8.75,0.83,1.67,1.77,2.84,7.24,10,5.39,9.45,0,0,0,0,0,,
Winny Brodt-Brown,5,1.03,2,1.67,6.67,5.83,1.6,1.37,2.69,4.19,4.07,0,0.87,1,0,0,0.87,1.25,0,0,0.97,1.55,2.41,3.33,2.03,3.41,0,0,0,0,0,,
Amy Curlew,8.33,1.72,2,1.85,3.33,3.5,1.42,1.58,1.51,7.44,7,3.33,4.35,3.33,0.83,1.11,0.43,0.42,10,,1.94,2.07,1.38,1.27,1.34,1.34,0.56,0.51,0.51,0.41,0.38,5.71,5
Breanne Wilson-Bennett,8.33,5.69,4,6.11,0.83,2.12,3.9,3.9,4.45,5.91,5.69,0,3.48,2.67,0,0,5.65,5.42,0,0,4.68,5,8.62,7.94,4.57,5.21,6.16,5.7,5.7,4.38,4.1,5.84,6.06
Brooke Boquist,5,5,4,8.06,1.18,2.41,3.05,2.9,5.28,5.49,5.14,3.33,3.04,3.5,3.75,4,1.3,1.88,2.5,5,2.26,3.62,1.03,1.43,2.03,3.41,0.4,0.25,0.38,0.41,0.58,4,5
Elaine Chuli,6.67,0,0,0,,,1,1.2,1.25,8.66,8.12,0,0,0,,,0,0,,,0,0,0,0,1.38,1.73,0,0,0,0,0,,
Emily Fluke,8.33,2.07,2,2.22,3.33,2.92,1.51,1.37,1.62,5.09,4.67,3.33,5.22,4,0.67,0.91,3.48,3.33,0,0,2.74,2.93,2.76,2.54,1.85,1.96,0.56,0.51,0.51,0.41,0.38,5.71,5
Emma Greco,8.33,2.93,0,3.15,0,0,3.78,2.74,4.31,3.07,2.51,0,3.91,3,1,1.25,9.13,8.75,0,0,1.77,1.9,4.83,4.44,5,5.73,0,0,0,0,0,,
Emma Woods,5,4.83,0,7.78,0,0,3.75,4.07,6.52,7.08,6.67,0,6.09,7,2.5,2.73,2.61,3.75,0,0,4.52,7.24,4.14,5.71,2.28,3.87,0,0,0,0,0,,
Julie Allen,8.33,0.52,0,0.56,0,0,1.54,1.29,1.65,3.83,3.85,0,2.17,1.67,0,0,3.04,2.92,1.25,1.67,0.97,1.03,3.45,3.17,1.34,1.34,1.2,0.76,0.76,1.23,1.15,4,4
Kristen Barbara,5,1.21,0,1.94,0,0,2.6,2.61,4.47,5.25,5.77,0,1.3,1.5,0,0,0.43,0.62,0,0,0.97,1.55,3.1,4.29,2.54,4.34,0,0,0,0,0,,
